"","word","num"
"1","look like",564
"2","mr burn",483
"3","oh yeah",479
"4","oh god",462
"5","homer simpson",458
"6","wait minut",343
"7","just like",308
"8","right now",302
"9","woo hoo",284
"10","bart simpson",258
"11","mr simpson",258
"12","can get",225
"13","hey hey",204
"14","come back",196
"15","one thing",189
"16","get back",188
"17","sound like",184
"18","just want",183
"19","lisa simpson",178
"20","feel like",174
"21","go back",173
"22","oh well",172
"23","oh man",168
"24","can see",167
"25","oh right",158
"26","hey homer",155
"27","yeah well",154
"28","gonna get",153
"29","go home",152
"30","just get",150
"31","littl girl",149
"32","now get",149
"33","well guess",145
"34","can go",143
"35","old man",141
"36","best friend",140
"37","want see",139
"38","haw haw",138
"39","ice cream",137
"40","just go",136
"41","mom dad",135
"42","oh oh",134
"43","thousand dollar",133
"44","just say",130
"45","let go",130
"46","marg simpson",130
"47","princip skinner",130
"48","well just",130
"49","oh yes",129
"50","can make",125
"51","itchi scratchi",123
"52","last night",123
"53","oh just",122
"54","yeah yeah",122
"55","now go",121
"56","mrs simpson",120
"57","go get",119
"58","thank god",119
"59","heh heh",118
"60","million dollar",118
"61","year ago",118
"62","everi day",117
"63","sideshow bob",116
"64","oh thank",115
"65","never seen",114
"66","can help",113
"67","let us",113
"68","oh marg",113
"69","oh good",112
"70","take care",112
"71","well mayb",112
"72","yes sir",112
"73","yeah right",111
"74","make sure",109
"75","okay okay",109
"76","young man",108
"77","now can",107
"78","right right",107
"79","one day",106
"80","gotta get",105
"81","gotta go",105
"82","tell us",105
"83","think can",104
"84","now just",103
"85","yes yes",102
"86","kent brockman",101
"87","krusti clown",101
"88","oh sorri",101
"89","know just",100
"90","ladi gentlemen",100
"91","wait wait",100
"92","go ahead",99
"93","hey look",99
"94","well know",99
"95","well look",98
"96","can take",97
"97","hundr dollar",96
"98","just got",95
"99","now know",94
"100","get outta",93
"101","just one",93
"102","oh wait",93
"103","well think",93
"104","just take",92
"105","last time",92
"106","just give",91
"107","oh homer",91
"108","want go",91
"109","oh boy",90
"110","oh look",89
"111","can tell",87
"112","gonna make",87
"113","oh bart",87
"114","want get",87
"115","want know",87
"116","go go",86
"117","well well",86
"118","ha ha",85
"119","ned flander",85
"120","make feel",84
"121","oh dear",84
"122","hot dog",83
"123","one two",83
"124","gonna take",82
"125","new york",81
"126","just think",80
"127","oh homi",80
"128","gonna go",79
"129","hey bart",79
"130","mayb can",79
"131","oh great",79
"132","everi time",78
"133","first time",78
"134","hey dad",78
"135","hey guy",78
"136","oh come",78
"137","realli think",78
"138","smell like",78
"139","give us",77
"140","littl boy",77
"141","will never",77
"142","get rid",76
"143","need help",76
"144","realli want",76
"145","take back",76
"146","comic book",75
"147","high school",75
"148","now see",75
"149","ow ow",75
"150","even know",74
"151","mayb just",74
"152","oh know",74
"153","see ya",74
"154","hey kid",73
"155","just littl",73
"156","thing ever",73
"157","one hundr",72
"158","good one",71
"159","just need",71
"160","oh sure",71
"161","seem like",71
"162","wanna go",71
"163","well least",71
"164","whoa whoa",71
"165","d get",70
"166","good morn",70
"167","good time",70
"168","last year",70
"169","come home",69
"170","say someth",69
"171","year old",69
"172","bart lisa",68
"173","get away",68
"174","good lord",68
"175","good luck",68
"176","homer homer",68
"177","well one",68
"178","just gonna",67
"179","know can",67
"180","well see",67
"181","good idea",66
"182","just tri",66
"183","like one",66
"184","number one",66
"185","well sir",66
"186","can just",65
"187","ever seen",65
"188","littl helper",65
"189","two hundr",65
"190","two three",65
"191","can say",64
"192","fat toni",64
"193","get readi",64
"194","way go",64
"195","will take",64
"196","chief wiggum",63
"197","long time",63
"198","look good",63
"199","oh get",63
"200","uh uh",63
"201","way get",63
"202","get home",62
"203","help us",62
"204","oh okay",62
"205","one time",62
"206","santa littl",62
"207","uh yeah",62
"208","well got",62
"209","five minut",61
"210","give back",61
"211","look just",61
"212","now gonna",61
"213","okay now",61
"214","uh oh",61
"215","well get",61
"216","well now",61
"217","cell phone",60
"218","feel good",60
"219","last week",60
"220","next week",60
"221","oh pleas",60
"222","right back",60
"223","will get",60
"224","can come",59
"225","can still",59
"226","good thing",59
"227","guess just",59
"228","let get",59
"229","littl bit",59
"230","never get",59
"231","never thought",59
"232","tri kill",59
"233","well gonna",59
"234","montgomeri burn",58
"235","mrs krabappel",58
"236","someon els",58
"237","thank thank",58
"238","well can",58
"239","well uh",58
"240","big deal",57
"241","five hundr",57
"242","get marri",57
"243","get one",57
"244","good night",57
"245","got someth",57
"246","hey wait",57
"247","homer just",57
"248","sure can",57
"249","tri get",57
"250","uh well",57
"251","ay carumba",56
"252","dad just",56
"253","feel better",56
"254","know think",56
"255","now want",56
"256","oh love",56
"257","pleas pleas",56
"258","take away",56
"259","tell ya",56
"260","ten year",56
"261","dad can",55
"262","know like",55
"263","oh realli",55
"264","oh uh",55
"265","radioact man",55
"266","well sure",55
"267","whole thing",55
"268","gonna let",54
"269","hey lis",54
"270","just keep",54
"271","just make",54
"272","know one",54
"273","leav alon",54
"274","now homer",54
"275","springfield elementari",54
"276","think go",54
"277","watch tv",54
"278","well like",54
"279","anoth one",53
"280","next time",53
"281","now bart",53
"282","now look",53
"283","one will",53
"284","peopl like",53
"285","pretti good",53
"286","will make",53
"287","can find",52
"288","oh lord",52
"289","well go",52
"290","bart bart",51
"291","can use",51
"292","even though",51
"293","hey get",51
"294","just put",51
"295","just tell",51
"296","know mean",51
"297","littl guy",51
"298","make us",51
"299","never heard",51
"300","now let",51
"301","oh see",51
"302","power plant",51
"303","uh just",51
"304","homer go",50
"305","just look",50
"306","like got",50
"307","like see",50
"308","make look",50
"309","oh lisa",50
"310","okay go",50
"311","way can",50
"312","well okay",50
"313","will go",50
"314","feel bad",49
"315","got get",49
"316","homer can",49
"317","let just",49
"318","marg just",49
"319","now need",49
"320","one can",49
"321","think know",49
"322","well good",49
"323","well thank",49
"324","ah yes",48
"325","bart get",48
"326","better get",48
"327","can put",48
"328","dr hibbert",48
"329","go make",48
"330","go now",48
"331","hey know",48
"332","never gonna",48
"333","now like",48
"334","oh go",48
"335","oh honey",48
"336","oh now",48
"337","take one",48
"338","tell truth",48
"339","thank much",48
"340","three hundr",48
"341","bart can",47
"342","bart just",47
"343","dear god",47
"344","good news",47
"345","happi birthday",47
"346","import thing",47
"347","just call",47
"348","just let",47
"349","just sit",47
"350","like go",47
"351","now take",47
"352","say hello",47
"353","super bowl",47
"354","take look",47
"355","think gonna",47
"356","time get",47
"357","uh huh",47
"358","act like",46
"359","bring back",46
"360","can give",46
"361","come get",46
"362","get get",46
"363","go see",46
"364","gonna kill",46
"365","hey everybodi",46
"366","homer know",46
"367","now got",46
"368","now time",46
"369","nuclear power",46
"370","oh dad",46
"371","okay just",46
"372","one us",46
"373","realli like",46
"374","stop stop",46
"375","well homer",46
"376","get littl",45
"377","got one",45
"378","great idea",45
"379","homer want",45
"380","marg get",45
"381","miss hoover",45
"382","now now",45
"383","right just",45
"384","uh think",45
"385","well done",45
"386","alway want",44
"387","can believ",44
"388","five dollar",44
"389","get us",44
"390","homer pleas",44
"391","know homer",44
"392","oh think",44
"393","one ever",44
"394","pay attent",44
"395","troy mcclure",44
"396","van houten",44
"397","well better",44
"398","bad news",43
"399","dad think",43
"400","go bed",43
"401","god bless",43
"402","homer got",43
"403","homer think",43
"404","know go",43
"405","know know",43
"406","mani time",43
"407","one way",43
