"","word","num"
"1","just",6551
"2","like",5943
"3","now",5871
"4","well",5855
"5","get",5822
"6","know",4796
"7","can",4785
"8","one",4668
"9","homer",4110
"10","hey",3957
"11","right",3922
"12","look",3606
"13","got",3593
"14","bart",3423
"15","want",3418
"16","think",3168
"17","see",3064
"18","come",3057
"19","good",2944
"20","say",2883
"21","make",2778
"22","yeah",2762
"23","will",2726
"24","take",2682
"25","time",2662
"26","marg",2632
"27","dad",2598
"28","man",2595
"29","gonna",2529
"30","back",2499
"31","littl",2491
"32","simpson",2378
"33","okay",2329
"34","thing",2219
"35","never",2209
"36","lisa",2130
"37","love",2090
"38","kid",2029
"39","boy",2011
"40","need",1924
"41","realli",1892
"42","yes",1872
"43","thank",1841
"44","way",1804
"45","day",1750
"46","tell",1703
"47","give",1681
"48","guy",1642
"49","someth",1596
"50","two",1569
"51","call",1561
"52","peopl",1527
"53","work",1510
"54","sure",1507
"55","sorri",1486
"56","let",1461
"57","mom",1440
"58","new",1392
"59","mean",1383
"60","pleas",1371
"61","use",1334
"62","wait",1312
"63","even",1308
"64","god",1276
"65","ever",1260
"66","first",1259
"67","great",1256
"68","show",1248
"69","stop",1235
"70","help",1230
"71","year",1209
"72","better",1208
"73","sir",1168
"74","feel",1162
"75","tri",1159
"76","life",1143
"77","mayb",1129
"78","put",1125
"79","name",1121
"80","old",1111
"81","talk",1109
"82","home",1100
"83","friend",1093
"84","springfield",1062
"85","school",1061
"86","made",1052
"87","much",1052
"88","son",1046
"89","big",1034
"90","still",1022
"91","thought",1008
"92","said",1006
"93","live",994
"94","burn",979
"95","alway",970
"96","last",970
"97","money",964
"98","babi",928
"99","find",928
"100","three",926
"101","famili",916
"102","play",907
"103","kill",894
"104","gotta",890
"105","keep",889
"106","everi",871
"107","hous",864
"108","world",861
"109","guess",860
"110","turn",860
"111","eat",853
"112","place",852
"113","must",851
"114","girl",842
"115","start",838
"116","lot",828
"117","night",826
"118","minut",823
"119","hello",820
"120","bad",817
"121","anyth",816
"122","happen",816
"123","watch",813
"124","huh",799
"125","believ",798
"126","next",797
"127","moe",794
